name,abandonment,maintenance.score
pinch_hitter,0,0.9
omniauth-ohloh,1,0.0
popcorn,1,0.1
china_pay,1,0.2
shorts,1,0.2
capybara-user_agent,1,0.1
simple_settings,0,0.3
gitlab_yaml_db,0,0.9
boleto_bancario,0,0.8
metro-ld25,1,0.1
zip_meta,1,0.6
tmux-ruby,1,0.3
ducksauce,1,0.2
clima_tempo,1,0.1
numbered_relationships,1,0.6
motion-pixate,1,0.1
channel_advisor,1,0.1
fullname-matcher,0,0.6
hubtime,1,0.1
migration_investigation,0,1.0
invariant,1,0.0
plur,1,0.0
evaluator,1,0.4
cinch-spotify,1,0.6
hiera-file,0,0.6
pebblescape,1,0.3
going_postal,0,0.4
acts_as_bits,1,0.1
gaigo,1,0.3
sinatra-filtering_parameters,1,0.1
handle_search,1,0.0
fiscal_date,1,0.1
rack-nullsession,0,0.8
rack-geoipcity,0,1.0
smsglobal,1,0.3
fixedfixer,1,0.0
acts_as_pickable,0,1.0
instascraper,1,0.5
chef-handler-updated-resources,0,0.7
nurettin-phantomjs,0,0.7
david-capybara,0,1.0
jrubyfx,0,0.7
libv8-st,0,0.9
rails_admin-lbgraham,0,0.9
arturop-chronic_duration,0,0.9
renren-mobile,0,0.6
queryable_array,1,0.2
referer-parser,0,0.9
pb-will_paginate,0,1.0
thoughtafter-vpim,1,0.8
stepladder,1,0.0
magician,1,0.0
rjack-jdom,0,1.0
lstoll-feedzirra,0,1.0
uci,1,0.4
token_action,0,0.9
juno,0,0.8
kbaum-pickle,1,0.6
ealdent-resque-scheduler,0,0.9
swistak-delocalize,0,1.0
strikeroff-routing-filter,0,1.0
cotweet_koala,0,1.0
secretsharing,0,0.9
lafeber_ckeditor,0,1.0
bosh_vcloud_cpi,0,1.0
sirius-client,1,0.1
cast,0,0.9
yoomee-searchlogic,1,0.7
aihs_devise,0,0.8
pass,0,1.0
nutheory-rack-gridfs,0,0.7
openshift-origin-console,0,0.6
page_navigation,1,0.2
guard-teabag,0,0.9
suicide,0,1.0
jones,0,0.9
colorful-mina,1,0.3
vkhater-redcarpet,0,1.0
cfp,1,0.3
yql,1,0.1
wmainfo-rb,1,0.0
tb,0,0.1
home,1,0.4
hashrocket-mongomapper,0,0.9
git-pulls-updated,1,0.4
drogus-authlogic,0,1.0
we5-pickler,1,0.3
rjack-jms-spec,0,1.0
aq1018-searchlogic,1,0.7
relevance_ipaddress,0,1.0
jerbil,1,0.1
attribute_defaults,1,0.5
rets4r,1,0.0
sinatra-config-file,0,1.0
cucumber-api-steps,0,0.6
gem-edit,1,0.1
watirmark,0,0.7
review,0,1.0
linqr,0,0.8
ETL,1,0.3
sinatra-extension,0,1.0
drnic-pickler,1,0.5
timcharper-jruby-poi,1,0.4
lspace,1,0.0
shouldly,0,1.0
collins_notify,0,0.8
devise_omniauth_fb,0,1.0
enju_trunk_ill,1,0.3
rhodes,0,0.9
middle,1,0.1
sirius-client-core,1,0.1
sirius-client-win32,1,0.3
sunspot_solr,0,1.0
multi_block,1,0.5
ooorest,0,1.0
sockjs,1,0.3
refinerycms-resources,0,0.8
jruby-jars,0,1.0
instagram_geo,0,1.0
divine,1,0.1
josephholsten-rets4r,1,0.5
anp_prices,0,0.1
kbaum-mail,0,1.0
travis-core,0,1.0
jdbc-h2,0,0.9
delayed_job_csi,0,1.0
eye,0,1.0
axiom,1,0.2
rct,0,0.6
djsun-mongomapper,0,0.9
khipu-rails,1,0.0
bio,0,0.7
aspec,1,0.0
pdf2nook,1,0.2
gnome-backlight,0,0.9
work_days,1,0.0
carrierwave-pressplane,0,1.0
activerecord-jdbc-adapter-onsite,0,1.0
rocx,0,0.4
fromation,0,0.9
rha,1,0.1
mnoble-fakefs,0,1.0
enju_trunk_frbr,1,0.4
